user_id,time,location,app_id,app_cate_id,traffic,traffic_bin,traffic_bin_2
4,20160420080933,4093,2,5,7674,7,7
4,20160420080934,4093,2,5,8290,8,8
4,20160420080935,4093,2,5,1744,4,4
4,20160420080936,4093,2,5,146612,10,10
4,20160420080941,4093,2,5,10654,8,8
4,20160420081102,4093,2,5,18118,9,9
4,20160420081104,4093,2,5,55758,10,10
4,20160420081106,4093,2,5,294,1,1
4,20160420081126,4093,2,5,1373,3,3
4,20160420081400,4093,120,1,8756,9,9
4,20160420081401,4093,120,1,49404,10,10
4,20160420081402,4093,120,1,50672,10,10
4,20160420081423,4093,120,1,3973,7,7
4,20160420081424,4093,120,1,4650,8,8
4,20160420181347,4662,106,16,4415,9,9
4,20160420181348,4662,106,16,1698,6,6
4,20160420181349,4662,106,16,12760,10,10
4,20160420181350,4662,106,16,1026,4,4
4,20160420181351,4662,106,16,3208,8,8
4,20160420181352,4662,106,16,452,2,2
4,20160420181353,4662,106,16,1381,5,5
4,20160420181355,4662,106,16,4088,9,9
4,20160420181356,4662,106,16,1811,6,6
4,20160420181357,4662,106,16,2454,7,7
4,20160420181358,4662,106,16,2045,7,7
4,20160420181359,4662,106,16,2228,7,7
4,20160420181400,4662,106,16,3475,8,8
4,20160420181401,4662,106,16,409,2,2
4,20160420181402,4662,106,16,409,2,2
4,20160420181405,4662,106,16,409,2,2
4,20160420181408,4662,106,16,2293,7,7
4,20160420181409,4662,106,16,2746,8,8
4,20160420181411,4662,106,16,2121,7,7
4,20160420181413,4662,1,5,506,1,1
4,20160420181414,4662,1,5,1708,4,4
4,20160420181416,4662,106,16,485,2,2
4,20160420181417,4662,106,16,398,2,2
4,20160420181420,4662,1,5,954,2,2
4,20160420181423,4662,1,5,3342,6,6
4,20160420181517,4662,2,5,19679,9,9
4,20160420181518,4662,2,5,4137,6,6
4,20160420181519,4662,2,5,1116,2,2
4,20160420181522,4662,2,5,6135,7,7
4,20160420181524,4662,2,5,92500,10,10
