user_id,time,location,app_id,app_cate_id,traffic,traffic_bin,traffic_bin.1
0,20160422014420,8195,102,1,1260,3,3
0,20160422014421,8195,102,1,11391,9,9
0,20160422014505,8195,4,5,9905,8,8
0,20160422080119,8195,18,9,24436,10,10
0,20160422080119,8195,3,14,1281,3,3
0,20160422080120,8195,18,9,3337,7,7
0,20160422080120,8195,3,14,5756,8,8
0,20160422080121,8195,18,9,357,1,1
0,20160422080121,8195,3,14,1013,2,2
0,20160422080122,8195,18,9,366,1,1
0,20160422080123,8195,3,14,1448,3,3
0,20160422080124,8195,3,14,11426,9,9
0,20160422082738,8195,106,16,6544,9,9
0,20160422082739,8195,106,16,23035,10,10
0,20160422082740,8195,106,16,2724,8,8
0,20160422082740,8195,3,14,1330,3,3
0,20160422082747,8195,106,16,11455,10,10
0,20160422082752,8195,106,16,2414,7,7
0,20160422082809,8195,106,16,3319,8,8
0,20160422082810,8195,106,16,1324,5,5
0,20160422082924,8195,106,16,4190,9,9
0,20160422082925,8195,106,16,2801,8,8
0,20160422082926,8195,18,9,21109,10,10
0,20160422082926,8195,3,14,2662,6,6
0,20160422082927,8195,18,9,3201,6,6
0,20160422082929,8195,18,9,2805,6,6
0,20160422083002,8195,7,14,7653,8,8
0,20160422083003,8195,7,14,35575,10,10
0,20160422083004,8195,7,14,12109,9,9
0,20160422083005,8195,7,14,15336,9,9
0,20160422083007,8195,7,14,3631,7,7
0,20160422083010,8195,7,14,3201,6,6
0,20160422083011,8195,7,14,4946,7,7
0,20160422083013,8195,7,14,13442,9,9
0,20160422083014,8195,7,14,3269,6,6
0,20160422083029,8195,7,14,3197,6,6
0,20160422083041,8195,18,9,7217,8,8
0,20160422083041,8195,3,14,2466,6,6
0,20160422083042,8195,18,9,17813,10,10
0,20160422083043,8195,18,9,1192,2,2
0,20160422083043,8195,3,14,4820,7,7
0,20160422083122,8195,18,9,20998,10,10
0,20160422083123,8195,18,9,1046,2,2
0,20160422083123,8195,3,14,2252,5,5
0,20160422083125,8195,7,14,4898,7,7
0,20160422083202,8195,7,14,10913,9,9
0,20160422083214,8195,106,16,1098,4,4
0,20160422083215,8195,106,16,8680,9,9
0,20160422083219,8195,7,14,1811,4,4
0,20160422083220,8195,7,14,12556,9,9
0,20160422083221,8195,7,14,6524,8,8
0,20160422083222,8195,7,14,1787,4,4
0,20160422083315,8195,106,16,3861,8,8
0,20160422083623,8195,1,5,1502,3,3
0,20160422083647,8195,106,16,11260,10,10
0,20160422083753,8195,1,5,1594,3,3
0,20160422084244,8121,3,14,1043,2,2
0,20160422084245,8121,106,16,4694,9,9
0,20160422084245,8121,4,5,28721,9,9
0,20160422084246,8121,106,16,2703,8,8
0,20160422084247,8121,4,5,816,2,2
0,20160422084248,8121,4,5,6961,7,7
0,20160422084250,8121,106,16,1589,6,6
0,20160422084254,8121,16,10,2790,6,6
0,20160422084255,8121,16,10,204446,10,10
0,20160422084256,8121,16,10,1204,2,2
0,20160422084258,8121,16,10,1426,3,3
0,20160422084259,8121,16,10,8417,8,8
0,20160422084300,8121,16,10,2403,5,5
0,20160422084303,8121,16,10,1222,2,2
0,20160422084305,8121,16,10,1421,3,3
0,20160422084306,8121,16,10,6943,8,8
0,20160422084307,8121,16,10,2729,6,6
0,20160422084308,8121,16,10,14784,9,9
0,20160422084310,8121,29,10,1426,3,3
0,20160422084311,8121,16,10,1448,3,3
0,20160422084311,8121,29,10,332,1,1
0,20160422084312,8121,16,10,1429,3,3
0,20160422084313,8121,16,10,3668,6,6
0,20160422084317,8121,16,10,4280,7,7
0,20160422084318,8121,29,10,3469,6,6
0,20160422084319,8121,16,10,364,1,1
0,20160422084320,8121,16,10,3577,6,6
0,20160422084320,8121,18,9,10802,9,9
0,20160422084320,8121,3,14,1169,2,2
0,20160422084321,8121,29,10,530,1,1
0,20160422084322,8121,16,10,1848,4,4
0,20160422084322,8121,18,9,9226,9,9
0,20160422084323,8121,18,9,7281,9,9
0,20160422084323,8121,3,14,2720,6,6
0,20160422084324,8121,18,9,5921,8,8
0,20160422084329,8121,18,9,4422,7,7
0,20160422084335,8121,16,10,2998,6,6
0,20160422084350,8121,4,5,6354,7,7
0,20160422084350,8121,29,10,1558,3,3
0,20160422084353,8121,29,10,1448,3,3
0,20160422084419,8121,106,16,1098,4,4
0,20160422084420,8121,106,16,6217,9,9
0,20160422084427,8121,16,10,4351,7,7
0,20160422084428,8121,16,10,999,2,2
0,20160422084432,8121,16,10,1292,3,3
0,20160422084433,8121,16,10,3817,6,6
0,20160422084434,8121,16,10,2732,6,6
0,20160422084435,8121,16,10,1132,2,2
0,20160422084436,8121,16,10,640,1,1
0,20160422084437,8121,16,10,2500,5,5
0,20160422084438,8121,16,10,373,1,1
0,20160422084439,8121,16,10,1058,2,2
0,20160422084442,8121,16,10,2050,5,5
0,20160422084446,8121,16,10,2881,6,6
0,20160422084448,8121,16,10,904,2,2
0,20160422084449,8121,16,10,1909,4,4
0,20160422084450,8121,16,10,1427,3,3
0,20160422084505,8121,16,10,7566,8,8
0,20160422084506,8121,16,10,640,1,1
0,20160422084507,8121,16,10,1178,2,2
0,20160422084522,2319,16,10,17463,9,9
0,20160422084522,8121,16,10,1849,4,4
0,20160422084528,2319,16,10,9931,8,8
0,20160422084528,8121,16,10,4921,7,7
0,20160422084532,2319,16,10,3747,6,6
0,20160422084534,2319,16,10,1390,3,3
0,20160422084537,2319,16,10,1602,4,4
0,20160422084541,2319,16,10,5523,7,7
0,20160422084546,2319,16,10,31513,10,10
0,20160422084547,2319,16,10,46612,10,10
0,20160422084547,8121,16,10,25898,10,10
0,20160422084548,2319,16,10,1222,2,2
0,20160422084550,2319,16,10,3016,6,6
0,20160422084550,2319,29,10,2838,6,6
0,20160422084730,2319,1,5,33594,9,9
0,20160422084840,2319,106,16,2398,7,7
0,20160422084842,2319,106,16,6543,9,9
0,20160422084843,2319,106,16,6400,9,9
0,20160422084844,2319,106,16,1132,4,4
0,20160422084845,2319,106,16,2798,8,8
0,20160422084846,2319,106,16,10058,10,10
0,20160422084901,2319,16,10,3198,6,6
0,20160422084902,2319,16,10,1240,3,3
0,20160422084903,2319,16,10,1591,3,3
0,20160422084904,2319,16,10,13437,9,9
0,20160422084905,2319,29,10,12832,9,9
0,20160422084907,2319,16,10,16247,9,9
0,20160422084909,2319,16,10,1285,3,3
0,20160422084915,2319,16,10,1426,3,3
0,20160422084919,2319,16,10,8796,8,8
0,20160422084920,2319,16,10,33940,10,10
0,20160422084929,2319,16,10,12709,9,9
0,20160422084930,2319,16,10,10208,8,8
0,20160422084931,2319,16,10,1427,3,3
0,20160422084936,2319,16,10,10116,8,8
0,20160422084937,2319,16,10,1427,3,3
