user_id,time,location,app_id,app_cate_id,traffic,traffic_bin,traffic_bin.1
0,20160421084221,8195,102,1,30432,10,10
0,20160421084412,8195,1,5,8329,8,8
0,20160421084447,8195,218,9,26662,10,10
0,20160421084448,8195,218,9,1689,4,4
0,20160421084449,8195,18,9,8758,9,9
0,20160421084449,8195,3,14,2222,5,5
0,20160421084449,8195,218,9,579424,10,10
0,20160421084450,8195,18,9,306591,10,10
0,20160421084450,8195,218,9,798,1,1
0,20160421084451,8195,218,9,1791,4,4
0,20160421084452,8195,218,9,20127,10,10
0,20160421084455,8195,218,9,10326,9,9
0,20160421084456,8195,218,9,5541,8,8
0,20160421084459,8195,18,9,977,2,2
0,20160421084502,8195,18,9,2204,5,5
0,20160421084822,8193,18,9,5379,8,8
0,20160421084823,8193,18,9,12295,9,9
0,20160421084823,8193,3,14,1944,4,4
0,20160421084824,8193,18,9,4255,7,7
0,20160421085213,8193,1,5,1825,4,4
0,20160421085619,7715,18,9,7695,9,9
0,20160421085619,8120,18,9,8736,9,9
0,20160421085619,8120,3,14,2018,5,5
0,20160421085620,7715,18,9,1673,4,4
0,20160421085620,8120,18,9,1905,4,4
0,20160421085624,1907,18,9,2773,6,6
0,20160421085624,7715,18,9,358,1,1
0,20160421085700,7715,18,9,9016,9,9
0,20160421085700,7715,3,14,1089,2,2
0,20160421085701,7715,18,9,7962,9,9
0,20160421085702,7715,18,9,2196,5,5
0,20160421085801,2319,106,16,1304,5,5
0,20160421085802,2319,106,16,9501,10,10
0,20160421085802,7715,106,16,5643,9,9
0,20160421085803,2319,106,16,9203,10,10
0,20160421085803,7715,106,16,7666,9,9
0,20160421085804,2319,3,14,1042,2,2
0,20160421085805,2319,106,16,1117,4,4
0,20160421085808,2319,106,16,3973,8,8
0,20160421085809,2319,106,16,8253,9,9
0,20160421085814,2319,106,16,703,3,3
0,20160421085814,7715,106,16,1474,6,6
0,20160421085938,2319,106,16,8471,9,9
0,20160421085939,2319,106,16,41622,10,10
0,20160421093322,6562,3,14,3205,6,6
0,20160421093332,6562,106,16,1623,6,6
0,20160421093348,6562,1,5,4679,7,7
0,20160421093357,6562,1,5,1696,4,4
0,20160421093415,6562,106,16,655,2,2
0,20160421093416,6562,106,16,2420,7,7
0,20160421093424,6562,106,16,1117,4,4
0,20160421093427,6562,106,16,6877,9,9
0,20160421093523,6708,106,16,1233,5,5
0,20160421093525,6708,106,16,1948,7,7
0,20160421093556,6708,106,16,1117,4,4
0,20160421093557,6708,106,16,6538,9,9
0,20160421093923,6708,106,16,2010,7,7
