user_id,date,time,region_id,region_poi
7,20160420,0,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,1,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,2,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,3,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,4,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,5,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,6,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,7,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,8,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,9,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,10,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,11,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,12,253,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,13,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,14,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,15,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,16,312,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,17,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,18,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,19,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,20,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,21,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,22,371,Shopping & Consumer Goods|Dining & Cuisine|Life Services
7,20160420,23,371,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,0,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,1,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,2,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,3,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,4,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,5,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,6,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,7,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,8,189,Shopping & Consumer Goods|Companies & Enterprises|Dining & Cuisine
8,20160420,9,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,10,209,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,11,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,12,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,13,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,14,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,15,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,16,144,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,17,314,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,18,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,19,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,20,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,21,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,22,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
8,20160420,23,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,0,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,1,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,2,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,3,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,4,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,5,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,6,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,7,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,8,291,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,9,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,10,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,11,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,12,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,13,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,14,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,15,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,16,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,17,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,18,270,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,19,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,20,269,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,21,226,Shopping & Consumer Goods|Companies & Enterprises|Dining & Cuisine
9,20160420,22,290,Shopping & Consumer Goods|Dining & Cuisine|Life Services
9,20160420,23,290,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,0,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,1,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,2,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,3,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,4,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,5,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,6,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,7,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,8,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,9,145,Shopping & Consumer Goods|Life Services|Dining & Cuisine
10,20160420,10,102,Companies & Enterprises|Transportation Facilities|Leisure & Entertainment
10,20160420,11,251,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,12,292,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,13,251,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,14,251,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,15,251,Shopping & Consumer Goods|Dining & Cuisine|Life Services
10,20160420,16,251,Shopping & Consumer Goods|Dining & Cuisine|Life Services
